Время,Заголовок,Комментарии
,,,
"<a class=""tahoma font12"" href=""/4993880-prezidentam-kazahstana-i-rossii.html"" target=""_blank"">Президентам Казахстана и России представили ряд совместных проектов</a>","<span class=""tahoma font12 date n3"">23:52</span>","<a class=""tahoma font12"" href=""/4993880-prezidentam-kazahstana-i-rossii.html"" target=""_blank"">Президентам Казахстана и России представили ряд совместных проектов</a>",
"<a class=""tahoma font12"" href=""/4993879-doma-iz-penoplasta-podryadchiki-v.html"" target=""_blank"">Дома из пенопласта - подрядчики сдали жилье в ВКО</a>","<span class=""tahoma font12 date n3"">23:50</span>","<a class=""tahoma font12"" href=""/4993879-doma-iz-penoplasta-podryadchiki-v.html"" target=""_blank"">Дома из пенопласта - подрядчики сдали жилье в ВКО</a>",
"<a class=""tahoma font12"" href=""/4993878-tokaev-podvel-itogi-xvi-foruma.html"" target=""_blank"">Токаев подвел итоги XVI Форума межрегионального сотрудничества в Омске</a>","<span class=""tahoma font12 date n3"">23:24</span>","<a class=""tahoma font12"" href=""/4993878-tokaev-podvel-itogi-xvi-foruma.html"" target=""_blank"">Токаев подвел итоги XVI Форума межрегионального сотрудничества в Омске</a>",
"<a class=""tahoma font12"" href=""/4993877-zhizn-kazahstantsev-v-10-raz-deshevle.html"" target=""_blank"">Жизнь казахстанцев в 10 раз дешевле жизни граждан России что ли?! - Перуашев</a>","<span class=""tahoma font12 date n3"">23:14</span>","<a class=""tahoma font12"" href=""/4993877-zhizn-kazahstantsev-v-10-raz-deshevle.html"" target=""_blank"">Жизнь казахстанцев в 10 раз дешевле жизни граждан России что ли?! - Перуашев</a>","<span class=""comm_num"">4</span>"
"<a class=""tahoma font12"" href=""/4993876-v-almaty-sgorela-donernaya.html"" target=""_blank"">В Алматы сгорела донерная</a>","<span class=""tahoma font12 date n3"">22:53</span>","<a class=""tahoma font12"" href=""/4993876-v-almaty-sgorela-donernaya.html"" target=""_blank"">В Алматы сгорела донерная</a>",
"<a class=""tahoma font12"" href=""/4993875-na-trassah-almatinskoy-oblasti.html"" target=""_blank"">На трассах Алматинской области вычисляют неплательщиков алиментов</a>","<span class=""tahoma font12 date n3"">22:37</span>","<a class=""tahoma font12"" href=""/4993875-na-trassah-almatinskoy-oblasti.html"" target=""_blank"">На трассах Алматинской области вычисляют неплательщиков алиментов</a>",
"<a class=""tahoma font12"" href=""/4993874-obvinyaemyy-v-izbienii-kastetom.html"" target=""_blank"">Обвиняемый в избиении кастетом женщины-психолога отрицает свою вину</a>","<span class=""tahoma font12 date n3"">22:23</span>","<a class=""tahoma font12"" href=""/4993874-obvinyaemyy-v-izbienii-kastetom.html"" target=""_blank"">Обвиняемый в избиении кастетом женщины-психолога отрицает свою вину</a>",
"<a class=""tahoma font12"" href=""/4993873-tokaev-mezhdu-rf-i-rk-rastet-uroven.html"" target=""_blank"">Токаев: Между РФ и РК растет уровень взаимодействия в области энергетики</a>","<span class=""tahoma font12 date n3"">21:50</span>","<a class=""tahoma font12"" href=""/4993873-tokaev-mezhdu-rf-i-rk-rastet-uroven.html"" target=""_blank"">Токаев: Между РФ и РК растет уровень взаимодействия в области энергетики</a>",
"<a class=""tahoma font12"" href=""/4993872-vitse-ministra-obrazovaniya-rk.html"" target=""_blank"">Вице-министра образования РК, обвиненного в плагиате, освободят от занимаемой должности</a>","<span class=""tahoma font12 date n3"">21:39</span>","<a class=""tahoma font12"" href=""/4993872-vitse-ministra-obrazovaniya-rk.html"" target=""_blank"">Вице-министра образования РК, обвиненного в плагиате, освободят от занимаемой должности</a>","<span class=""comm_num"">8</span>"
"<a class=""tahoma font12"" href=""/4993870-v-zko-tretiy-den-razyskivayut-devushku.html"" target=""_blank"">В ЗКО третий день разыскивают девушку</a>","<span class=""tahoma font12 date n3"">21:23</span>","<a class=""tahoma font12"" href=""/4993870-v-zko-tretiy-den-razyskivayut-devushku.html"" target=""_blank"">В ЗКО третий день разыскивают девушку</a>",
"<a class=""tahoma font12"" href=""/4993867-tokaev-i-putin-obsudili-otkrytie.html"" target=""_blank"">Токаев и Путин обсудили открытие российско-казахстанских школ</a>","<span class=""tahoma font12 date n3"">21:00</span>","<a class=""tahoma font12"" href=""/4993867-tokaev-i-putin-obsudili-otkrytie.html"" target=""_blank"">Токаев и Путин обсудили открытие российско-казахстанских школ</a>",
"<a class=""tahoma font12"" href=""/4993865-tokaev-vstretilsya-s-putinym-v-omske.html"" target=""_blank"">Токаев встретился с Путиным в Омске</a>","<span class=""tahoma font12 date n3"">20:39</span>","<a class=""tahoma font12"" href=""/4993865-tokaev-vstretilsya-s-putinym-v-omske.html"" target=""_blank"">Токаев встретился с Путиным в Омске</a>",
"<a class=""tahoma font12"" href=""/4993864-90-letie-otmechaet-voennaya-gazeta.html"" target=""_blank"">90-летие отмечает военная газета ""Сарбаз""</a>","<span class=""tahoma font12 date n3"">20:20</span>","<a class=""tahoma font12"" href=""/4993864-90-letie-otmechaet-voennaya-gazeta.html"" target=""_blank"">90-летие отмечает военная газета ""Сарбаз""</a>","<span class=""comm_num"">4</span>"
"<a class=""tahoma font12"" href=""/4993863-dariga-nazarbaeva-prizvala-navesti.html"" target=""_blank"">Дарига Назарбаева призвала навести порядок в сфере оказания госуслуг</a>","<span class=""tahoma font12 date n3"">20:11</span>","<a class=""tahoma font12"" href=""/4993863-dariga-nazarbaeva-prizvala-navesti.html"" target=""_blank"">Дарига Назарбаева призвала навести порядок в сфере оказания госуслуг</a>","<span class=""comm_num"">19</span>"
"<a class=""tahoma font12"" href=""/4993861-president-francii-nato.html"" target=""_blank"">Президент Франции: НАТО ""впала в кому""</a>","<span class=""tahoma font12 date n3"">19:55</span>","<a class=""tahoma font12"" href=""/4993861-president-francii-nato.html"" target=""_blank"">Президент Франции: НАТО ""впала в кому""</a>","<span class=""comm_num"">6</span>"
"<a class=""tahoma font12"" href=""/4993859-v-politsii-prokommentirovali.html"" target=""_blank"">В полиции прокомментировали информацию о сбежавшем из рабства мужчине</a>","<span class=""tahoma font12 date n3"">19:33</span>","<a class=""tahoma font12"" href=""/4993859-v-politsii-prokommentirovali.html"" target=""_blank"">В полиции прокомментировали информацию о сбежавшем из рабства мужчине</a>","<span class=""comm_num"">1</span>"
"<a class=""tahoma font12"" href=""/4993858-poshel-na-taran-zhitelya-almatinskoy.html"" target=""_blank"">Пошел на таран – жителя Алматинской области осудили на 20 лет за тройное убийство</a>","<span class=""tahoma font12 date n3"">19:13</span>","<a class=""tahoma font12"" href=""/4993858-poshel-na-taran-zhitelya-almatinskoy.html"" target=""_blank"">Пошел на таран – жителя Алматинской области осудили на 20 лет за тройное убийство</a>","<span class=""comm_num"">1</span>"
"<a class=""tahoma font12"" href=""/4993857-perspektivy-sotrudnichestva-rf-i-rk.html"" target=""_blank"">Акмолинская область на форуме межрегионального сотрудничества РФ и РК - перспективы сотрудничества</a>","<span class=""tahoma font12 date n3"">18:51</span>","<a class=""tahoma font12"" href=""/4993857-perspektivy-sotrudnichestva-rf-i-rk.html"" target=""_blank"">Акмолинская область на форуме межрегионального сотрудничества РФ и РК - перспективы сотрудничества</a>",
"<a class=""tahoma font12"" href=""/4993856-pogranichniki-konfiskovali-neskolko.html"" target=""_blank"">Пограничники конфисковали несколько партий наркотиков и оружия</a>","<span class=""tahoma font12 date n3"">18:45</span>","<a class=""tahoma font12"" href=""/4993856-pogranichniki-konfiskovali-neskolko.html"" target=""_blank"">Пограничники конфисковали несколько партий наркотиков и оружия</a>",
"<a class=""tahoma font12"" href=""/4993884-is-servisy-obrabotki-nalogovoy.html"" target=""_blank"">ИС «Сервисы обработки налоговой отчетности» вне доступа с 20:00 ч по 21:00 ч 7 ноября 2019 года</a>","<span class=""tahoma font12 date n3"">18:20</span>","<a class=""tahoma font12"" href=""/4993884-is-servisy-obrabotki-nalogovoy.html"" target=""_blank"">ИС «Сервисы обработки налоговой отчетности» вне доступа с 20:00 ч по 21:00 ч 7 ноября 2019 года</a>",
"<a class=""tahoma font12"" href=""/4993855-tseny-na-produkty-vyrosli-vo-vsem-mire.html"" target=""_blank"">Цены на продукты выросли во всем мире</a>","<span class=""tahoma font12 date n3"">18:13</span>","<a class=""tahoma font12"" href=""/4993855-tseny-na-produkty-vyrosli-vo-vsem-mire.html"" target=""_blank"">Цены на продукты выросли во всем мире</a>","<span class=""comm_num"">9</span>"
"<a class=""tahoma font12"" href=""/4993854-v-zko-odin-iz-zamestiteley.html"" target=""_blank"">В ЗКО один из заместителей руководителя ТОО «А» уклонился от уплаты налогов на сумму 250 млн. тенге, сообщил ДЭР по ЗКО</a>","<span class=""tahoma font12 date n3"">18:08</span>","<a class=""tahoma font12"" href=""/4993854-v-zko-odin-iz-zamestiteley.html"" target=""_blank"">В ЗКО один из заместителей руководителя ТОО «А» уклонился от уплаты налогов на сумму 250 млн. тенге, сообщил ДЭР по ЗКО</a>",
"<a class=""tahoma font12"" href=""/4993853-kasym-zhomart-tokaev-pribyl-v-omsk.html"" target=""_blank"">Касым-Жомарт Токаев прибыл в Омск</a>","<span class=""tahoma font12 date n3"">18:00</span>","<a class=""tahoma font12"" href=""/4993853-kasym-zhomart-tokaev-pribyl-v-omsk.html"" target=""_blank"">Касым-Жомарт Токаев прибыл в Омск</a>",
"<a class=""tahoma font12"" href=""/4993851-novye-avtobusnye-marshruty-zapustyat-v.html"" target=""_blank"">Новые автобусные маршруты запустят в Алматы</a>","<span class=""tahoma font12 date n3"">17:55</span>","<a class=""tahoma font12"" href=""/4993851-novye-avtobusnye-marshruty-zapustyat-v.html"" target=""_blank"">Новые автобусные маршруты запустят в Алматы</a>",
"<a class=""tahoma font12"" href=""/4993850-v-pavlodare-v-ramkah-programmy-razvitie.html"" target=""_blank"">В Павлодаре в рамках программы ""Развитие регионов"" запущен первый лифт</a>","<span class=""tahoma font12 date n3"">17:52</span>","<a class=""tahoma font12"" href=""/4993850-v-pavlodare-v-ramkah-programmy-razvitie.html"" target=""_blank"">В Павлодаре в рамках программы ""Развитие регионов"" запущен первый лифт</a>",
"<a class=""tahoma font12"" href=""/4993849-kazahsko-russkiy-mezhdunarodnyy.html"" target=""_blank"">Казахско-Русский Международный университет может лишиться лицензии</a>","<span class=""tahoma font12 date n3"">17:49</span>","<a class=""tahoma font12"" href=""/4993849-kazahsko-russkiy-mezhdunarodnyy.html"" target=""_blank"">Казахско-Русский Международный университет может лишиться лицензии</a>",
"<a class=""tahoma font12"" href=""/4993848-naznachen-zamestitel-rukovoditelya.html"" target=""_blank"">Назначен заместитель руководителя канцелярии премьер-министра РК</a>","<span class=""tahoma font12 date n3"">17:40</span>","<a class=""tahoma font12"" href=""/4993848-naznachen-zamestitel-rukovoditelya.html"" target=""_blank"">Назначен заместитель руководителя канцелярии премьер-министра РК</a>","<span class=""comm_num"">4</span>"
"<a class=""tahoma font12"" href=""/4993885-is-esf-vne-dostupa-s-22-00-ch-7.html"" target=""_blank"">ИС «ЭСФ» вне доступа с 22:00 ч 7 ноября до 00:15 ч 8 ноября 2019 года</a>","<span class=""tahoma font12 date n3"">17:40</span>","<a class=""tahoma font12"" href=""/4993885-is-esf-vne-dostupa-s-22-00-ch-7.html"" target=""_blank"">ИС «ЭСФ» вне доступа с 22:00 ч 7 ноября до 00:15 ч 8 ноября 2019 года</a>",
"<a class=""tahoma font12"" href=""/4993846-oplatu-bankovskoy-kartoy-za-proezd-v.html"" target=""_blank"">Оплату банковской картой за проезд в транспорте прорабатывают в Алматы </a>","<span class=""tahoma font12 date n3"">17:36</span>","<a class=""tahoma font12"" href=""/4993846-oplatu-bankovskoy-kartoy-za-proezd-v.html"" target=""_blank"">Оплату банковской картой за проезд в транспорте прорабатывают в Алматы </a>","<span class=""comm_num"">3</span>"
"<a class=""tahoma font12"" href=""/4993842-obrashchenie-bayandarovoy-k-prezidentu.html"" target=""_blank"">Обращение Баяндаровой к Президенту. Высказалась вторая сторона </a>","<span class=""tahoma font12 date n3"">17:24</span>","<a class=""tahoma font12"" href=""/4993842-obrashchenie-bayandarovoy-k-prezidentu.html"" target=""_blank"">Обращение Баяндаровой к Президенту. Высказалась вторая сторона </a>","<span class=""comm_num"">20</span>"
"<a class=""tahoma font12"" href=""/4993844-naznachen-novyy-zamestitel.html"" target=""_blank"">Назначен новый заместитель руководителя Канцелярии премьер-министра РК</a>","<span class=""tahoma font12 date n3"">17:24</span>","<a class=""tahoma font12"" href=""/4993844-naznachen-novyy-zamestitel.html"" target=""_blank"">Назначен новый заместитель руководителя Канцелярии премьер-министра РК</a>",
"<a class=""tahoma font12"" href=""/4993841-v-vko-provedeny-chasy.html"" target=""_blank"">В ВКО проведены ""Часы добропорядочности""</a>","<span class=""tahoma font12 date n3"">17:19</span>","<a class=""tahoma font12"" href=""/4993841-v-vko-provedeny-chasy.html"" target=""_blank"">В ВКО проведены ""Часы добропорядочности""</a>",
"<a class=""tahoma font12"" href=""/4993840-povysyat-li-tsenu-za-proezd-v.html"" target=""_blank"">Повысят ли цену за проезд в транспорте Алматы</a>","<span class=""tahoma font12 date n3"">17:17</span>","<a class=""tahoma font12"" href=""/4993840-povysyat-li-tsenu-za-proezd-v.html"" target=""_blank"">Повысят ли цену за проезд в транспорте Алматы</a>","<span class=""comm_num"">7</span>"
"<a class=""tahoma font12"" href=""/4993839-rezultaty-torgov-inostrannymi-valyutami.html"" target=""_blank"">Результаты торгов иностранными валютами на KASE: USDKZT_TOM = 388,90 (0), RUBKZT_TOM = 6,1072 (-0,0101)</a>","<span class=""tahoma font12 date n3"">17:12</span>","<a class=""tahoma font12"" href=""/4993839-rezultaty-torgov-inostrannymi-valyutami.html"" target=""_blank"">Результаты торгов иностранными валютами на KASE: USDKZT_TOM = 388,90 (0), RUBKZT_TOM = 6,1072 (-0,0101)</a>",
"<a class=""tahoma font12"" href=""/4993837-v-noyabre-tseny-na-elektroenergiyu-dlya.html"" target=""_blank"">В ноябре цены на электроэнергию для казахстанцев выросли на один процент</a>","<span class=""tahoma font12 date n3"">17:02</span>","<a class=""tahoma font12"" href=""/4993837-v-noyabre-tseny-na-elektroenergiyu-dlya.html"" target=""_blank"">В ноябре цены на электроэнергию для казахстанцев выросли на один процент</a>","<span class=""comm_num"">1</span>"
"<a class=""tahoma font12"" href=""/4993835-v-akademii-prokommentirovali-smert.html"" target=""_blank"">В академии прокомментировали смерть мальчика на тренировке в Алматы</a>","<span class=""tahoma font12 date n3"">16:54</span>","<a class=""tahoma font12"" href=""/4993835-v-akademii-prokommentirovali-smert.html"" target=""_blank"">В академии прокомментировали смерть мальчика на тренировке в Алматы</a>","<span class=""comm_num"">5</span>"
"<a class=""tahoma font12"" href=""/4993833-kogda-v-almaty-reshat-problemu.html"" target=""_blank"">Когда в Алматы решат проблему переполненных автобусов</a>","<span class=""tahoma font12 date n3"">16:51</span>","<a class=""tahoma font12"" href=""/4993833-kogda-v-almaty-reshat-problemu.html"" target=""_blank"">Когда в Алматы решат проблему переполненных автобусов</a>","<span class=""comm_num"">11</span>"
"<a class=""tahoma font12"" href=""/4993834-kazahstan-i-rossiya-utverdili-granitsu.html"" target=""_blank"">Казахстан и Россия утвердили границу между странами</a>","<span class=""tahoma font12 date n3"">16:49</span>","<a class=""tahoma font12"" href=""/4993834-kazahstan-i-rossiya-utverdili-granitsu.html"" target=""_blank"">Казахстан и Россия утвердили границу между странами</a>",
"<a class=""tahoma font12"" href=""/4993832-rossiya-i-kazahstan-utverdili-granitsu.html"" target=""_blank"">Казахстан и Россия утвердили границу между странами</a>","<span class=""tahoma font12 date n3"">16:47</span>","<a class=""tahoma font12"" href=""/4993832-rossiya-i-kazahstan-utverdili-granitsu.html"" target=""_blank"">Казахстан и Россия утвердили границу между странами</a>","<span class=""comm_num"">7</span>"
"<a class=""tahoma font12"" href=""/4993830-redkuyu-turkestanskuyu-rys-zametili-v.html"" target=""_blank"">Редкую туркестанскую рысь заметили в Чарынском каньоне</a>","<span class=""tahoma font12 date n3"">16:10</span>","<a class=""tahoma font12"" href=""/4993830-redkuyu-turkestanskuyu-rys-zametili-v.html"" target=""_blank"">Редкую туркестанскую рысь заметили в Чарынском каньоне</a>","<span class=""comm_num"">3</span>"
"<a class=""tahoma font12"" href=""/4993829-rezultaty-torgov-inostrannymi-valyutami.html"" target=""_blank"">Результаты торгов иностранными валютами на KASE: EURKZT_TOD = 430,50 (-0,10), RUBKZT_TOD = 6,1100 (-0,0126)</a>","<span class=""tahoma font12 date n3"">16:05</span>","<a class=""tahoma font12"" href=""/4993829-rezultaty-torgov-inostrannymi-valyutami.html"" target=""_blank"">Результаты торгов иностранными валютами на KASE: EURKZT_TOD = 430,50 (-0,10), RUBKZT_TOD = 6,1100 (-0,0126)</a>",
"<a class=""tahoma font12"" href=""/4993827-kazahstantsy-vyplatili-pochti-10-mlrd.html"" target=""_blank"">Казахстанцы выплатили почти 10 млрд тенге долгов по налогам</a>","<span class=""tahoma font12 date n3"">15:56</span>","<a class=""tahoma font12"" href=""/4993827-kazahstantsy-vyplatili-pochti-10-mlrd.html"" target=""_blank"">Казахстанцы выплатили почти 10 млрд тенге долгов по налогам</a>","<span class=""comm_num"">1</span>"
"<a class=""tahoma font12"" href=""/4993825-v-kazahstane-izmenitsya-podhod-k.html"" target=""_blank"">В Казахстане изменится подход к оказанию госуслуг</a>","<span class=""tahoma font12 date n3"">15:45</span>","<a class=""tahoma font12"" href=""/4993825-v-kazahstane-izmenitsya-podhod-k.html"" target=""_blank"">В Казахстане изменится подход к оказанию госуслуг</a>","<span class=""comm_num"">3</span>"
"<a class=""tahoma font12"" href=""/4993823-pravila-bazovogo-grantovogo-programmno.html"" target=""_blank"">Правила базового, грантового, программно-целевого финансирования научной и (или) научно-технической деятельности, изложены в новой редакции (аннотация к документу от 29.10.2019)</a>","<span class=""tahoma font12 date n3"">15:38</span>","<a class=""tahoma font12"" href=""/4993823-pravila-bazovogo-grantovogo-programmno.html"" target=""_blank"">Правила базового, грантового, программно-целевого финансирования научной и (или) научно-технической деятельности, изложены в новой редакции (аннотация к документу от 29.10.2019)</a>",
"<a class=""tahoma font12"" href=""/4993824-premer-ministr-rk-askar-mamin.html"" target=""_blank"">Премьер-Министр РК Аскар Мамин встретился с руководством Торгово-промышленной палаты «Франция-Казахстан»</a>","<span class=""tahoma font12 date n3"">15:22</span>","<a class=""tahoma font12"" href=""/4993824-premer-ministr-rk-askar-mamin.html"" target=""_blank"">Премьер-Министр РК Аскар Мамин встретился с руководством Торгово-промышленной палаты «Франция-Казахстан»</a>",
"<a class=""tahoma font12"" href=""/4993821-kadyrov-otpravil-advokatov-na-zashchitu.html"" target=""_blank"">Кадыров отправил адвокатов на защиту срочника Шамсутдинова</a>","<span class=""tahoma font12 date n3"">15:06</span>","<a class=""tahoma font12"" href=""/4993821-kadyrov-otpravil-advokatov-na-zashchitu.html"" target=""_blank"">Кадыров отправил адвокатов на защиту срочника Шамсутдинова</a>","<span class=""comm_num"">163</span>"
"<a class=""tahoma font12"" href=""/4993819-opasnyy-limonad-prodavali-v-magazinah.html"" target=""_blank"">Опасный лимонад продавали в магазинах Нур-Султана</a>","<span class=""tahoma font12 date n3"">14:53</span>","<a class=""tahoma font12"" href=""/4993819-opasnyy-limonad-prodavali-v-magazinah.html"" target=""_blank"">Опасный лимонад продавали в магазинах Нур-Султана</a>","<span class=""comm_num"">6</span>"
"<a class=""tahoma font12"" href=""/4993817-kazakh-invest-kazahstan-stal-pochetnym.html"" target=""_blank"">KAZAKH INVEST: Казахстан стал почетным гостем на Шанхайской выставке</a>","<span class=""tahoma font12 date n3"">14:40</span>","<a class=""tahoma font12"" href=""/4993817-kazakh-invest-kazahstan-stal-pochetnym.html"" target=""_blank"">KAZAKH INVEST: Казахстан стал почетным гостем на Шанхайской выставке</a>",
"<a class=""tahoma font12"" href=""/4993816-semya-zavorotnyuk-oprovergla.html"" target=""_blank"">Семья Заворотнюк опровергла сообщения о сборе денег на лечение</a>","<span class=""tahoma font12 date n3"">14:36</span>","<a class=""tahoma font12"" href=""/4993816-semya-zavorotnyuk-oprovergla.html"" target=""_blank"">Семья Заворотнюк опровергла сообщения о сборе денег на лечение</a>",
